true,prediction
14.400163,13.819447
12.399998,12.922849
11.400001,11.375127
10.1,10.261359
12.699998,11.452018
11.5,11.543548
11.900001,11.917265
11.3,11.124851
9.79897,10.34212
11.5,11.547997
14.700326,13.904805
12.599997,12.816097
11.7,11.706351
12.499997,13.052667
15.170581,13.206539
11.599999,11.6208515
13.999974,12.149585
11.2,11.214137
13.200015,12.092258
11.999998,12.019299
11.1,11.180091
11.1,11.455544
11.1,11.151589
11.400001,11.1386595
11.1,11.1388235
12.399998,12.093536
11.427902,11.625193
11.3,11.228175
11.2,11.176678
10.40103,10.34463
11.7,12.081439
11.900001,12.072205
10.622879,10.580834
13.1,12.862773
12.199999,12.037296
10.622879,10.694248
11.2,11.211832
11.2,11.21526
11.2,11.239053
11.900001,11.871522
12.1,11.59905
11.3,11.309977
11.8,11.985669
11.543697,11.731064
9.79897,9.910587
11.1,11.166035
10.4,10.997815
11.900001,11.910292
11.2,11.161373
12.383997,11.567164
10.5,10.548155
11.2,11.201228
11.8,11.752931
11.3,11.5150175
11.5,11.5232315
11.999998,12.084835
13.000009,12.656527
11.1,11.149828
11.923909,11.994096
11.5,11.504679
11.1,11.125051
11.5,11.489445
11.900001,11.907596
11.1,11.474433
11.3,11.277259
12.399998,12.0094
10.1,10.261098
12.399998,11.442837
10.622879,10.7674
11.2,11.455745
11.400001,11.361567
11.5,12.045745
11.599999,11.503116
10.622879,10.918501
13.299971,11.509144
11.400001,11.386083
11.29382,11.887389
11.7,11.714483
11.2,11.203986
11.2,11.682179
11.1,11.23329
10.095678,9.971157
11.900001,11.88437
11.1,11.156578
14.299971,12.245138
12.05546,11.933725
11.1,13.143003
11.1,10.809983
12.499997,12.08101
11.599999,11.843057
11.2,11.248617
11.7,11.754518
11.5,11.464724
11.5,11.4632435
11.999998,11.969542
11.2,11.251702
10.6,10.7319565
11.2,11.1901245
12.199999,13.689951
11.400001,11.396767
11.2,11.195967
11.3,11.334481
11.900001,12.279051
11.3,11.293271
11.2,11.213024
11.466532,11.149768
11.999998,11.6850605
11.7,11.221887
11.7,11.755377
11.2,11.182573
11.1,11.123588
12.899998,13.261095
11.999998,11.943181
11.1,11.126025
11.177759,11.202496
11.900001,11.498537
11.1,11.835975
14.1,14.0693
12.359637,12.316878
11.3,11.594206
11.900001,11.892082
11.7,11.743331
12.699998,12.114129
11.2,11.397308
13.299971,12.583624
13.855032,13.758175
12.299998,12.337963
14.500117,12.935222
11.2,11.240768
11.3,11.3213215
12.1,11.7522745
11.2,11.276139
11.999998,12.02498
11.759556,12.152743
11.1,11.08499
11.2,11.311717
11.999998,11.838285
10.70206,10.705233
11.3,12.454329
11.599999,11.870682
13.500008,13.426616
12.799992,12.497992
13.399989,13.234015
11.3,11.656211
10.7,10.509245
13.500008,13.375475
11.2,11.188222
11.3,11.429506
11.1,11.7384
11.5,11.527113
11.5,11.052126
13.622879,12.822999
11.999998,12.071222
11.108774,11.198677
11.1,11.123745
11.3,11.271652
11.599999,11.64994
11.2,11.176983
11.5,11.52853
11.599999,11.704885
11.1,11.16949
11.900001,11.62826
11.599999,11.35266
13.999974,13.4852085
12.1,12.071378
11.1,11.126506
12.399998,11.264504
11.8,11.83775
11.900001,11.881972
12.199999,11.780554
11.1,11.074341
11.3,11.380493
11.999998,11.980993
11.599999,11.481572
11.900001,11.921714
11.2,11.238454
11.2,11.205141
11.7,11.632584
11.999998,11.9965925
11.1,11.102018
11.8,11.78978
10.40103,10.362671
11.7,11.146504
12.399998,12.157622
11.900001,11.898877
11.900001,11.943619
11.8,11.822182
11.1,11.096341
11.5,11.827223
11.1,11.133217
11.3,11.290337
11.599999,11.536595
14.1,14.086277
11.900001,11.911237
13.8499775,13.251726
11.1,11.111057
11.900001,11.858296
11.5,11.53757
11.3,11.32956
11.7,11.740087
11.900001,11.903616
13.699981,13.541103
13.800057,12.698056
11.8,11.820342
11.2,11.192056
11.1,12.380095
11.3,11.272357
11.7,11.71677
11.8,11.851879
11.5,11.679523
14.777781,14.378893
11.3,11.29658
11.3,11.606011
11.8,12.152378
11.2,11.244052
11.3,11.185917
11.1,11.127665
12.1,11.58302
13.999974,13.721598
12.599997,12.072062
11.599999,11.563982
11.2,11.222469
11.8,11.792168
14.1,13.653287
10.1,10.2441435
11.2,11.178246
11.504468,11.846748
11.7,11.526945
11.900001,11.88915
10.4,10.348469
11.5,11.581982
11.3,11.18902
11.2,11.166457
11.400001,11.4568205
12.399998,12.155253
10.622879,10.86824
11.1,11.160686
13.1,13.074798
11.5,11.491123
11.3,11.28638
10.622879,10.658183
13.622879,13.490776
11.3,12.802053
11.2,11.15109
11.65,11.617077
11.5,11.516202
11.2139435,11.190283
11.400001,11.391531
11.3,11.511619
11.900001,13.145604
11.2,11.201623
11.1,11.170554
12.599997,13.000223
11.8,11.850836
11.5,12.306316
11.2,11.172131
11.2,11.205298
11.999998,11.526137
