true,prediction
5.0,5.3308983
5.0,5.000669
5.0,4.9999537
8.823909,8.324466
5.0,5.187345
5.0,5.18058
5.5686364,5.7955885
5.0,5.005924
5.0,5.1401772
5.0,4.9998436
5.0,4.9975486
5.0,4.9948263
5.0,4.995605
7.481486,6.495515
5.0,5.442571
5.0,4.9944263
9.431798,9.312294
5.0,6.614296
5.0,4.997744
5.0,5.035242
5.0,5.002987
5.0,4.994107
5.0,4.991682
5.0,4.988963
5.0,4.9974146
5.0,4.992606
5.958607,6.088084
5.0,5.00003
5.0,5.0019674
6.337242,5.09687
5.7212462,7.351692
6.6382723,6.1047897
5.7212462,5.5024724
5.0,4.9973288
8.30103,8.988769
5.0,4.994797
5.0,5.2019653
6.3565474,5.5723004
5.0,4.9958515
6.6777806,5.662321
5.0,5.0000587
7.7447276,5.2698073
5.387216,5.608136
5.0,5.044486
5.0,4.996216
5.0,4.9957323
5.0,4.9962034
5.0,4.986696
5.0,4.99432
5.0,4.9934597
7.2839966,6.81001
5.0,4.9955635
5.0,5.0639133
5.0,5.039316
5.4317985,5.446983
5.0,6.315911
5.0,5.6193824
5.0,4.99679
5.0,5.0478973
5.0,5.130023
5.0,4.9934325
5.0,5.007443
5.0,4.9938774
5.0,4.994251
5.0,4.994212
5.0,5.000622
5.0,4.955336
7.69897,7.2862415
5.0,4.9929957
5.0,4.9950795
6.4089355,6.2232175
5.4436975,5.76865
5.0,5.0205183
5.0,5.0409737
5.0,4.9934325
8.958608,7.119424
5.0,4.977901
5.0,4.9940424
5.0,4.9926634
6.0132284,7.106928
5.0,4.9951134
5.0,4.9950566
5.3467875,5.582921
5.2676063,6.2863116
5.0,5.000415
6.49485,7.244502
5.0,5.0003114
5.0,4.9550276
5.0,5.0641937
5.0,4.9906173
5.0,5.0010505
5.0,4.9940004
5.0,6.1883583
5.0,4.993952
5.0,4.9934325
5.0,5.1307483
5.920819,5.619377
5.0,4.9950337
5.0,4.9943423
6.823909,6.257451
5.0,5.000649
6.3665314,6.383671
6.6777806,6.699907
5.0,5.256307
5.0,5.00573
5.0,4.993549
5.0,4.9768705
5.0,5.0171833
6.481486,6.0353565
7.21467,6.5443206
5.0,4.998225
5.0,5.0059633
5.0,5.0411987
5.0,5.0552373
5.0,4.965131
5.0,5.254592
5.0,4.9940705
6.958607,7.4793406
5.0,4.9935837
6.4436975,6.5565267
5.0,5.001822
5.5086384,5.7340035
5.0,4.9964447
5.0,5.0327654
5.207608,6.042714
5.0,5.3104916
5.0,5.06335
5.0,4.993771
5.0,4.9927683
5.0,4.997084
7.221849,7.8478584
5.0,4.9934325
5.0,5.2232656
5.0,4.9947557
5.0,4.995342
5.0,5.000065
6.4089355,8.247114
5.0,4.995458
5.275724,5.3641243
6.7212462,5.854396
5.251812,5.334936
5.0,4.9934325
5.0,5.050759
5.0,5.0001593
5.0,4.99688
5.0,5.147826
6.09691,6.053842
5.0,4.9975634
5.0,4.996091
5.0,4.9736867
6.7447276,6.910973
5.920819,5.295093
5.0,4.9964805
5.0,4.9952517
5.0,4.981311
5.0,5.008388
5.0,5.347649
5.0,4.9980383
5.0,5.286968
5.0,4.997757
5.0,4.9955454
5.0,4.9955406
5.0,4.9934325
5.0,5.015508
5.0,5.098595
5.5086384,4.9928885
5.7695513,5.1696405
5.0,4.995914
5.0,5.041959
5.0,5.0012226
6.552842,7.2146473
6.070581,6.4017696
5.0,4.9953246
5.0,5.003062
5.0,4.995535
6.070581,5.9424133
5.0,5.7562804
5.0,4.9956074
5.0,5.050068
5.0,5.0155816
6.337242,7.774547
6.3665314,6.4511147
7.091515,6.211279
5.6382723,5.103142
5.0,5.016791
5.0,4.9958334
5.0,5.476536
5.0,4.995286
5.0,4.9975314
6.309804,5.6653595
5.0,4.996431
5.0,4.9959655
5.0,5.1518874
5.0,5.046606
5.0,4.9942
5.468521,4.994726
5.0,4.9950767
5.0,4.988243
5.481486,5.429381
5.0,4.995049
5.0,4.994625
5.0,4.990891
5.0,4.9950686
5.7212462,6.455106
5.0,5.0036964
5.0,5.16058
5.1870866,5.3275447
5.5228786,6.1789703
5.0,5.0553393
5.0,5.0342
5.0,4.9934325
5.8860564,6.349289
6.1191864,6.5747824
5.0,6.102847
5.0,5.1032233
5.0,4.995172
5.4317985,5.130794
7.2006593,6.964527
5.0,4.9913173
5.0,4.9934325
5.0,4.9995317
5.455932,7.8250146
5.0,4.9942145
5.0,5.0063844
5.0,4.9934325
5.0,5.011035
6.229148,5.9065313
5.0,5.0899816
5.0,4.9980307
5.69897,5.3569517
5.0,5.477468
5.0,4.9934325
5.7447276,8.494122
5.0,4.9762816
5.0,4.9955215
5.0,4.9947424
5.0,4.9842925
7.318759,5.0145206
5.49485,5.269363
5.0,5.900891
5.49485,5.031365
5.455932,4.994336
5.0,5.035764
5.0,4.996857
5.0,5.87967
6.207608,5.7955885
5.0,4.997744
5.0,4.9934325
5.0,5.0693865
5.0,4.999493
6.275724,7.3683996
5.0,4.997167
5.49485,5.5537105
5.0,4.9966664
5.0,4.9964523
5.7447276,6.834293
6.79588,6.0721536
6.080922,6.171889
5.0,5.378279
7.251812,6.6918306
5.0,5.006361
5.0,4.9776554
5.0,4.99718
5.004365,6.0686326
5.0,5.1297846
5.0,5.002399
5.0,5.110742
5.0,5.0068216
5.0,5.3930073
7.091515,8.559576
5.7447276,5.0600076
5.0,5.0050673
5.0,5.6400084
5.2596374,5.734897
6.1426673,6.2506733
5.0,5.112302
5.0,4.9949155
5.0,5.0082827
5.0,4.9801455
5.0,4.9936295
6.7212462,6.212032
5.0,4.9968567
5.7695513,6.0865555
5.7447276,5.327718
5.0,4.993827
5.0,4.994693
7.161151,7.235609
8.443698,8.14984
5.0,4.998266
5.0,5.003243
5.0,4.9966965
5.5850267,5.5832043
5.0,5.0178914
6.5686364,6.6094785
5.0,4.996091
5.0,5.035242
5.0,4.9934354
6.318759,7.4362164
5.0,5.0084867
5.0,5.002987
5.0,4.995117
5.0,4.9942174
5.0,4.9981794
5.0,4.992412
5.0,4.9921985
5.0,4.996093
5.0,4.9956627
5.0,5.0949693
5.0,4.9578094
5.0,5.001362
5.0,4.994424
5.0,4.997234
5.0,4.9911327
5.0,4.994985
5.0,4.996996
7.4317985,6.8120346
5.0,5.0047574
5.0,5.071598
6.2596374,5.9321537
5.8860564,5.042223
7.229148,7.5464854
5.0,5.0157113
5.0,4.9957356
6.39794,5.911908
6.113509,6.4206624
5.0,4.9964466
5.0,4.994237
5.0,5.0040812
6.2839966,5.5705285
5.0,4.99459
5.0,4.9944935
8.920818,9.154527
5.0,4.9934325
5.0,5.0317492
5.19382,4.9994164
6.6575775,7.207219
5.0,4.9934325
5.0,5.500237
5.0,4.999351
5.0,4.9934807
5.5086384,5.2597947
5.0,5.0085754
5.0,4.993744
5.0,5.140973
5.0,5.1132364
5.0,4.994419
5.6575775,5.5832043
5.0,4.9969463
6.537602,6.6951904
5.0,4.9934325
5.0,4.997338
5.0,5.4372993
5.0,5.1535616
5.0,4.995188
5.8860564,6.36335
5.0,4.9927397
5.0,4.9934325
6.1191864,6.2495484
5.0,5.0045557
5.0,4.994526
5.0,4.997257
5.0,5.0074134
5.0,4.9954176
5.180456,5.379046
5.0,4.9970536
5.0,4.9966235
5.0,4.995738
5.1307683,5.6590686
5.0,4.9952903
5.0,4.9951406
7.017729,6.7375917
5.0,4.9934325
5.0,4.995264
5.0,5.0196714
7.8860564,7.961878
5.0,4.9925447
5.0,5.00311
5.823909,5.779719
5.0,5.1751437
5.0,5.047228
8.21467,7.561452
5.0,4.9956
5.0,4.994436
7.0409584,5.4428396
5.0,4.992629
5.0,4.997865
5.0,4.996531
5.853872,6.05643
6.113509,5.094901
5.0,4.9934325
5.0,4.9943027
5.0,5.009129
5.0,4.9969635
6.251812,6.5176315
5.0,4.9859996
5.8860564,5.008564
5.0,5.1313877
5.0,5.0247955
5.0,4.9945507
6.69897,6.8193145
5.0409584,5.0041795
5.0,4.99767
5.0,5.0551877
7.60206,7.5657597
7.0655017,6.7923894
5.0,5.059964
5.0,4.9990487
5.0,4.999541
5.0,5.6099854
5.7212462,5.0308447
5.0,5.2250056
5.0,4.9937797
5.0,5.0753007
5.0,4.9954457
5.0,4.996823
5.0,5.8547497
5.0,4.9947534
6.60206,5.897092
5.0,5.013227
5.0,5.074034
10.0,9.602468
5.0,4.9859886
5.0,5.0148487
5.0,4.999041
6.7695513,6.56591
5.0,4.9973
5.0,5.530208
5.0,5.388219
5.0,4.9955635
5.0,4.9947267
5.0,4.997559
5.0,4.9659443
5.0,5.087001
5.0,5.025666
5.0,4.9945936
5.0,4.9918585
5.0,5.253917
5.0,4.9961658
5.0,5.0151377
8.420217,8.177952
5.6382723,5.313361
5.0,5.0284224
5.0,4.9934325
5.0,4.993886
5.0,4.993763
5.0,4.94738
5.0,5.0006757
5.0,4.9935412
5.0,4.99348
5.0,4.996882
5.0,4.996084
5.0,5.0060697
5.60206,6.3312783
5.0,5.2417645
6.080922,5.629445
5.0,4.9934325
5.0,4.9999003
5.0,5.0373287
5.05061,5.411395
5.2441254,5.3046017
5.0,4.9934325
6.7212462,5.994341
5.0,4.9934325
5.161151,5.021957
5.60206,5.2716017
5.0,4.999226
6.080922,5.1641583
5.1426673,5.880213
5.0,5.7371545
5.0,4.9967294
5.0,4.9954867
5.5850267,5.8020687
6.031517,5.0381002
6.1307683,6.9491625
5.0,4.9979267
5.0,5.0665627
5.0,4.989376
8.045757,6.9296
5.0409584,4.9934325
6.60206,5.8445673
6.0132284,6.14729
5.0,4.994426
5.0,4.9934325
5.0,5.011534
5.5850267,5.758788
5.0,5.051282
5.0,5.0144095
5.0,5.6907363
5.0,5.015711
7.337242,5.6205645
5.0,4.9940157
7.2676063,5.2447124
5.0,4.9970784
5.0,4.9958253
7.2006593,7.0595255
5.0,4.9936647
6.4202166,6.508333
5.0,4.9943027
6.481486,5.144263
5.0,4.9925447
6.1426673,5.085455
5.0,4.995463
5.0,5.007436
5.0,5.0238113
5.2839966,5.0723305
5.0,4.995968
7.8860564,7.153264
6.5686364,6.5431604
5.0,4.993679
5.853872,6.195898
5.4317985,6.383778
5.0,5.0317683
5.0,4.9940305
5.0,4.9973044
5.0,4.993405
5.0,4.9967895
5.0,4.933956
8.537602,6.2930684
5.0,5.023922
5.0,4.998237
5.0,4.9955254
5.0,5.020102
5.3279023,5.3164353
6.8860564,5.512565
9.79588,5.4401646
5.0,4.995288
5.0,5.218323
5.0,4.9990826
5.0,5.486068
5.0,5.010706
5.0,5.2161694
5.0,4.9943147
6.376751,5.2912436
5.0,5.007268
7.6382723,5.29441
5.0,4.994986
5.0,5.0864863
5.0,5.102284
5.0,5.0211926
5.0,4.9979877
5.8860564,5.7960453
5.0,4.9934325
5.0,4.9946256
9.853872,9.602468
5.0,5.0244427
6.4436975,5.7298207
9.267606,8.247114
5.0,4.9934325
